question_uid,parliament,session,question_number,question_sitting_day,question_date,question_title,asker_name,asker_riding,number_of_responses
41-2-248,41,2,248,37,2014-01-28,Federal Economic Development Agency for Southern Ontario,Mr. Hsu,Kingston and the Islands,1
41-2-249,41,2,249,37,2014-01-28,Hydraulic fracturing,Mr. Scarpaleggia,Lac-Saint-Louis,1
41-2-250,41,2,250,37,2014-01-28,Wolseley Barracks,Ms. Mathyssen,London—Fanshawe,1
41-2-251,41,2,251,37,2014-01-28,Codes of Practice for the Care and Handling of Farm Animals,Ms. May,Saanich—Gulf Islands,1
41-2-252,41,2,252,37,2014-01-28,Climate change,Ms. Leslie,Halifax,1
41-2-253,41,2,253,37,2014-01-28,Transportation of farm animals,Ms. May,Saanich—Gulf Islands,1
41-2-254,41,2,254,38,2014-01-29,Government spending in Sherbrooke,Mr. Dusseault,Sherbrooke,1
41-2-255,41,2,255,38,2014-01-29,Privacy breaches,Mr. Angus,Timmins—James Bay,1
41-2-256,41,2,256,38,2014-01-29,Briefing documents,Ms. Murray,Vancouver Quadra,1
41-2-257,41,2,257,38,2014-01-29,Buffalo search-and-rescue aircraft,Ms. Murray,Vancouver Quadra,1
41-2-258,41,2,258,38,2014-01-29,Historic military milestones,Ms. Murray,Vancouver Quadra,1
41-2-259,41,2,259,38,2014-01-29,Department of Natural Resources advertising,Ms. Foote,Random—Burin—St. George's,1
41-2-260,41,2,260,38,2014-01-29,Canada Post offices,Ms. Foote,Random—Burin—St. George's,1
41-2-261,41,2,261,38,2014-01-29,Closure of the Maritime Rescue Sub-Centre St. John’s,Ms. Foote,Random—Burin—St. George's,1
41-2-262,41,2,262,38,2014-01-29,Canada-Newfoundland and Labrador Offshore Petroleum Board,Ms. Foote,Random—Burin—St. George's,1
41-2-263,41,2,263,38,2014-01-29,Order Paper questions,Mr. Wallace,Burlington,1
41-2-264,41,2,264,39,2014-01-30,Canada Post’s Five-Point Action Plan,Mr. Mai,Brossard—La Prairie,1
41-2-265,41,2,265,39,2014-01-30,Enbridge Northern Gateway,Mr. Cullen,Skeena—Bulkley Valley,1
41-2-266,41,2,266,40,2014-01-31,Department of Fisheries and Oceans library system,Mr. MacAulay,Cardigan,1
41-2-267,41,2,267,41,2014-02-03,Confinement of laying hens to battery cages,Ms. May,Saanich—Gulf Islands,1
41-2-268,41,2,268,42,2014-02-04,Halifax Port Authority,Ms. Leslie,Halifax,1
41-2-269,41,2,269,42,2014-02-04,Government funding for the company PurGenesis,Mr. Lapointe,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,1
41-2-270,41,2,270,42,2014-02-04,Agreements with the province of Newfoundland and Labrador,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-271,41,2,271,42,2014-02-04,Atlantic Lobster Sustainability Measures Program,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-272,41,2,272,42,2014-02-04,Portable electronic devices,Ms. Chow,Trinity—Spadina,1
41-2-273,41,2,273,42,2014-02-04,Canada Post,Ms. Chow,Trinity—Spadina,1
41-2-274,41,2,274,42,2014-02-04,Toronto Island Airport,Ms. Chow,Trinity—Spadina,1
41-2-275,41,2,275,42,2014-02-04,"Taxes in Montreal, Vancouver, Ottawa, Toronto, Calgary and Edmonton",Ms. Chow,Trinity—Spadina,1
41-2-276,41,2,276,43,2014-02-05,Government funding,Mr. Garneau,Westmount—Ville-Marie,1
41-2-277,41,2,277,43,2014-02-05,Homelessness Partnering Strategy,Ms. Boutin-Sweet,Hochelaga,1
41-2-278,41,2,278,43,2014-02-05,Homelessness Partnering Strategy,Ms. Boutin-Sweet,Hochelaga,1
41-2-279,41,2,279,43,2014-02-05,Community Infrastructure Improvement Fund,Ms. Boutin-Sweet,Hochelaga,1
41-2-280,41,2,280,43,2014-02-05,Building Canada Fund,Ms. Boutin-Sweet,Hochelaga,1
41-2-281,41,2,281,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Saganash,Abitibi—Baie-James—Nunavik—Eeyou,1
41-2-282,41,2,282,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Dusseault,Sherbrooke,1
41-2-283,41,2,283,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Boulerice,Rosemont—La Petite-Patrie,1
41-2-284,41,2,284,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Aubin,Trois-Rivières,1
41-2-285,41,2,285,43,2014-02-05,Canada Economic Development for Quebec Regions,Ms. Papillon,Québec,1
41-2-286,41,2,286,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Morin,Chicoutimi—Le Fjord,1
41-2-287,41,2,287,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Nantel,Longueuil—Pierre-Boucher,1
41-2-288,41,2,288,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Nunez-Melo,Laval,1
41-2-289,41,2,289,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-290,41,2,290,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Caron,Rimouski-Neigette—Témiscouata—Les Basques,1
41-2-291,41,2,291,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Choquette,Drummond,1
41-2-292,41,2,292,43,2014-02-05,Canada Economic Development for Quebec Regions,Mr. Genest-Jourdain,Manicouagan,1
41-2-293,41,2,293,43,2014-02-05,Procurement contracts,Ms. Quach,Beauharnois—Salaberry,1
41-2-294,41,2,294,43,2014-02-05,Government funding in Laurentides–Labelle,Mr. Morin,Laurentides—Labelle,1
41-2-295,41,2,295,43,2014-02-05,Section 33 of the Canadian Charter of Rights and Freedoms,Mr. Casey,Charlottetown,1
41-2-296,41,2,296,43,2014-02-05,Indian Residential School Settlement Agreement,Mr. Angus,Timmins—James Bay,1
41-2-297,41,2,297,45,2014-02-07,Government funding,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-298,41,2,298,45,2014-02-07,Wharf at Port-Daniel-Gascons,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-299,41,2,299,46,2014-02-10,Government funding,Mr. Angus,Timmins—James Bay,1
41-2-300,41,2,300,46,2014-02-10,Government funding,Mr. Gravelle,Nickel Belt,1
41-2-301,41,2,301,47,2014-02-11,The Royal Society of Canada Expert Panel on Safety Code 6,Ms. Davies,Vancouver East,1
41-2-302,41,2,302,47,2014-02-11,Department of Fisheries and Oceans and Canadian Coast Guard,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-303,41,2,303,48,2014-02-12,Government funding in Rivière-des-Mille-Îles,Ms. Liu,Rivière-des-Mille-Îles,1
41-2-304,41,2,304,49,2014-02-13,Prime Minister's security,Mr. Goodale,Wascana,1
41-2-305,41,2,305,50,2014-02-20,Jean Lesage Airport,Ms. Papillon,Québec,1
41-2-306,41,2,306,50,2014-02-20,Manolis L. shipwreck,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-307,41,2,307,50,2014-02-20,Ship Source Oil Pollution Fund,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-308,41,2,308,50,2014-02-20,Guaranteed Income Supplement Program,Mr. Caron,Rimouski-Neigette—Témiscouata—Les Basques,1
41-2-309,41,2,309,51,2014-02-24,Treasury Board's Policies and Guidelines for Ministers' Offices,Mr. Cuzner,Cape Breton—Canso,2
41-2-310,41,2,310,51,2014-02-24,Wabush Mines and Cliff Resources,Ms. Jones,Labrador,2
41-2-311,41,2,311,51,2014-02-24,Mealy Mountains National Park,Ms. Jones,Labrador,1
41-2-312,41,2,312,52,2014-02-25,Ring of Fire mining project,Mr. Gravelle,Nickel Belt,1
41-2-313,41,2,313,53,2014-02-26,Canada Revenue Agency’s Small Business Deduction,Mr. Thibeault,Sudbury,1
41-2-314,41,2,314,54,2014-02-27,2014 Economic Action Plan,Mr. Nantel,Longueuil—Pierre-Boucher,1
41-2-315,41,2,315,54,2014-02-27,Skills Link Program,Ms. Brosseau,Berthier—Maskinongé,1
41-2-316,41,2,316,54,2014-02-27,"""Soutien en Emploi par un Plateau de Travail"" project",Ms. Brosseau,Berthier—Maskinongé,1
41-2-317,41,2,317,54,2014-02-27,Employment and Social Development Canada’s funding programs,Ms. Brosseau,Berthier—Maskinongé,1
41-2-318,41,2,318,54,2014-02-27,Labour market agreements,Ms. Brosseau,Berthier—Maskinongé,1
41-2-319,41,2,319,54,2014-02-27,Procurement of garments and textiles,Mr. Kellway,Beaches—East York,2
41-2-320,41,2,320,55,2014-02-28,Employment Insurance,Mr. Fortin,Haute-Gaspésie—La Mitis—Matane—Matapédia,1
41-2-321,41,2,321,57,2014-03-04,Labour Market Opinions,Ms. Sims,Newton—North Delta,1
41-2-322,41,2,322,58,2014-03-05,Canada Research Chairs,Mr. Goodale,Wascana,1
41-2-323,41,2,323,59,2014-03-06,Qalipu Mi'kmaq First Nation Band,Mr. Byrne,Humber—St. Barbe—Baie Verte,1
41-2-324,41,2,324,59,2014-03-06,Goods and services provided to eligible parliamentary persons,Mr. Byrne,Humber—St. Barbe—Baie Verte,1
41-2-325,41,2,325,59,2014-03-06,Canada Post,Mr. Easter,Malpeque,1
41-2-326,41,2,326,59,2014-03-06,Advertising,Mr. Easter,Malpeque,1
41-2-327,41,2,327,59,2014-03-06,Employment Insurance,Mr. Easter,Malpeque,1
41-2-328,41,2,328,59,2014-03-06,Contracts,Mr. McKay,Scarborough—Guildwood,3
41-2-329,41,2,329,59,2014-03-06,Mortgage Loan Insurance,Mr. McKay,Scarborough—Guildwood,1
41-2-330,41,2,330,59,2014-03-06,Consultations concerning prostitution-related offences,Mr. Cotler,Mount Royal,1
41-2-331,41,2,331,60,2014-03-20,Diplomatic properties,Mr. Dewar,Ottawa Centre,1
41-2-332,41,2,332,60,2014-03-20,Elections Canada,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-333,41,2,333,60,2014-03-20,Government consultation on prostitution-related offences,Mr. Cotler,Mount Royal,1
41-2-334,41,2,334,60,2014-03-20,Bijuralism and harmonization,Mr. Cotler,Mount Royal,1
41-2-335,41,2,335,60,2014-03-20,Enterprise Cape Breton Corporation,Mr. Cuzner,Cape Breton—Canso,1
41-2-336,41,2,336,60,2014-03-20,Property held by the government,Mr. McGuinty,Ottawa South,1
41-2-337,41,2,337,60,2014-03-20,Women in Crown Corporations,Ms. Ashton,Churchill,1
41-2-338,41,2,338,51,2014-03-24,Canada Elections Act,Mr. Casey,Charlottetown,1
41-2-339,41,2,339,61,2014-03-24,Government travel,Mr. Casey,Charlottetown,1
41-2-340,41,2,340,61,2014-03-24,Government spending on cosmetics,Mr. Casey,Charlottetown,1
41-2-341,41,2,341,61,2014-03-24,Commemorations of Confederation,Mr. Dion,Saint-Laurent—Cartierville,2
41-2-342,41,2,342,61,2014-03-24,Social Security Tribunal,Ms. Sims,Newton—North Delta,1
41-2-343,41,2,343,61,2014-03-24,Federal grants and contributions programs,Ms. Sims,Newton—North Delta,1
41-2-344,41,2,344,61,2014-03-24,Taxation policy,Mr. Pacetti,Saint-Léonard—Saint-Michel,1
41-2-345,41,2,345,61,2014-03-24,Jacques Cartier and Champlain Bridges Incorporated,Mr. Pacetti,Saint-Léonard—Saint-Michel,1
41-2-346,41,2,346,61,2014-03-24,Government communications,Mr. McKay,Scarborough—Guildwood,1
41-2-347,41,2,347,61,2014-03-24,Government advertising,Mr. McKay,Scarborough—Guildwood,1
41-2-348,41,2,348,61,2014-03-24,Termination of employment agreements,Mr. LeBlanc,Beauséjour,1
41-2-349,41,2,349,61,2014-03-24,Government advertising,Mr. LeBlanc,Beauséjour,1
41-2-350,41,2,350,61,2014-03-24,Government advertising,Mr. LeBlanc,Beauséjour,1
41-2-351,41,2,351,61,2014-03-24,Immigration,Mr. Lamoureux,Winnipeg North,1
41-2-352,41,2,352,61,2014-03-24,Trade barriers,Mr. Lamoureux,Winnipeg North,1
41-2-353,41,2,353,61,2014-03-24,CF-18 aircrafts,Mr. Lamoureux,Winnipeg North,1
41-2-354,41,2,354,61,2014-03-24,Canada Job Grant,Mr. Lamoureux,Winnipeg North,1
41-2-355,41,2,355,61,2014-03-24,Government spending,Mr. Brison,Kings—Hants,1
41-2-356,41,2,356,61,2014-03-24,Government spending,Mr. Brison,Kings—Hants,1
41-2-357,41,2,357,61,2014-03-24,Disability tax credit,Mr. Brison,Kings—Hants,1
41-2-358,41,2,358,61,2014-03-24,Government aircraft,Mr. McCallum,Markham—Unionville,1
41-2-359,41,2,359,61,2014-03-24,Visa and immigration applications,Mr. McCallum,Markham—Unionville,1
41-2-360,41,2,360,61,2014-03-24,Government aircraft,Mr. McCallum,Markham—Unionville,1
41-2-361,41,2,361,61,2014-03-24,Level-three emergencies,Ms. Duncan,Etobicoke North,1
41-2-362,41,2,362,62,2014-03-25,National Parole Board,Mr. Scarpaleggia,Lac-Saint-Louis,1
41-2-363,41,2,363,62,2014-03-25,Government publishing,Mr. Scarpaleggia,Lac-Saint-Louis,1
41-2-364,41,2,364,62,2014-03-25,Canada-Korea free trade agreement,Mr. Regan,Halifax West,1
41-2-365,41,2,365,62,2014-03-25,Government appointments,Mr. Regan,Halifax West,1
41-2-366,41,2,366,62,2014-03-25,Canada-EU trade agreement,Mr. Regan,Halifax West,1
41-2-367,41,2,367,62,2014-03-25,Government advertising,Mr. Regan,Halifax West,1
41-2-368,41,2,368,63,2014-03-26,Briefing documents,Ms. Murray,Vancouver Quadra,1
41-2-369,41,2,369,63,2014-03-26,Employment Insurance appeals,Mr. Chisholm,Dartmouth—Cole Harbour,1
41-2-370,41,2,370,63,2014-03-26,Atlantic Canada Opportunities Agency,Mr. Andrews,Avalon,1
41-2-371,41,2,371,63,2014-03-26,Environmental protection,Ms. Jones,Labrador,1
41-2-372,41,2,372,63,2014-03-26,Canadian Coast Guard,Ms. Jones,Labrador,1
41-2-373,41,2,373,63,2014-03-26,Corporations Canada,Ms. Sgro,York West,1
41-2-374,41,2,374,63,2014-03-26,Government wireless policy,Ms. Sgro,York West,1
41-2-375,41,2,375,63,2014-03-26,Taxation policy,Ms. Sgro,York West,1
41-2-376,41,2,376,63,2014-03-26,Royal Canadian Mint,Ms. Sgro,York West,1
41-2-377,41,2,377,63,2014-03-26,Budget 2014,Mr. Valeriote,Guelph,1
41-2-378,41,2,378,63,2014-03-26,Ministers' office budgets,Mr. Valeriote,Guelph,1
41-2-379,41,2,379,63,2014-03-26,Kingston Penitentiary,Mr. Valeriote,Guelph,1
41-2-380,41,2,380,63,2014-03-26,National Defence,Mr. Valeriote,Guelph,1
41-2-381,41,2,381,63,2014-03-26,Agriculture and Agri-Food Canada,Mr. Eyking,Sydney—Victoria,1
41-2-382,41,2,382,63,2014-03-26,Veterans' services,Mr. Eyking,Sydney—Victoria,1
41-2-383,41,2,383,63,2014-03-26,Department of Fisheries and Oceans libraries,Mr. Eyking,Sydney—Victoria,1
41-2-384,41,2,384,63,2014-03-26,CP-140 Aurora,Mr. Eyking,Sydney—Victoria,1
41-2-385,41,2,385,63,2014-03-26,Federal Skilled Worker Program,Mr. Hsu,Kingston and the Islands,1
41-2-386,41,2,386,63,2014-03-26,Sale of Crown land,Mr. Hsu,Kingston and the Islands,1
41-2-387,41,2,387,63,2014-03-26,Minister of Citizenship and Immigration,Ms. Leslie,Halifax,1
41-2-388,41,2,388,63,2014-03-26,Canada's Action Plan on Open Government,Ms. Bennett,St. Paul's,1
41-2-389,41,2,389,63,2014-03-26,Access to Information requests,Ms. Bennett,St. Paul's,1
41-2-390,41,2,390,63,2014-03-26,Government aircraft,Mr. MacAulay,Cardigan,1
41-2-391,41,2,391,63,2014-03-26,Department of Justice,Mr. Pacetti,Saint-Léonard—Saint-Michel,1
41-2-392,41,2,392,63,2014-03-26,Agriculture and Agri-Food Canada research centres,Mr. Brison,Kings—Hants,1
41-2-393,41,2,393,64,2014-03-27,Citizenship and Immigration Canada,Ms. Blanchette-Lamothe,Pierrefonds—Dollard,1
41-2-394,41,2,394,64,2014-03-27,Canadian Institutes for Health Research,Ms. Davies,Vancouver East,1
41-2-395,41,2,395,64,2014-03-27,Government aircraft,Ms. Murray,Vancouver Quadra,1
41-2-396,41,2,396,64,2014-03-27,HMCS Windsor,Ms. Murray,Vancouver Quadra,1
41-2-397,41,2,397,64,2014-03-27,Tax revenues,Mr. Julian,Burnaby—New Westminster,1
41-2-398,41,2,398,64,2014-03-27,Government studies of the oil and gas sector,Mr. Julian,Burnaby—New Westminster,1
41-2-399,41,2,399,64,2014-03-27,Department of Fisheries and Oceans,Mr. MacAulay,Cardigan,1
41-2-400,41,2,400,64,2014-03-27,Cohen Commission Report,Mr. MacAulay,Cardigan,1
41-2-401,41,2,401,64,2014-03-27,Sealing industry,Mr. MacAulay,Cardigan,1
41-2-402,41,2,402,64,2014-03-27,Health Canada,Ms. Fry,Vancouver Centre,1
41-2-403,41,2,403,64,2014-03-27,Atomic Energy of Canada Limited,Ms. Fry,Vancouver Centre,1
41-2-404,41,2,404,64,2014-03-27,Aboriginal Affairs and Northern Development Canada,Ms. Fry,Vancouver Centre,1
41-2-405,41,2,405,64,2014-03-27,Privy Council Office,Ms. Fry,Vancouver Centre,1
41-2-406,41,2,406,64,2014-03-27,Canadian Air Transport Security Authority,Ms. St-Denis,Saint-Maurice—Champlain,1
41-2-407,41,2,407,64,2014-03-27,Canadian Heritage,Ms. St-Denis,Saint-Maurice—Champlain,1
41-2-408,41,2,408,64,2014-03-27,Canadian Tourism Commission,Ms. St-Denis,Saint-Maurice—Champlain,1
41-2-409,41,2,409,64,2014-03-27,Canadian Coast Guard,Ms. St-Denis,Saint-Maurice—Champlain,1
41-2-410,41,2,410,64,2014-03-27,Transport Canada,Mr. McGuinty,Ottawa South,1
41-2-411,41,2,411,64,2014-03-27,Prime Minister's Office,Mr. McGuinty,Ottawa South,1
41-2-412,41,2,412,64,2014-03-27,National Capital Commission,Mr. McGuinty,Ottawa South,2
41-2-413,41,2,413,64,2014-03-27,Canada Economic Development Agency for Quebec Regions,Mr. Dubourg,Bourassa,1
41-2-414,41,2,414,64,2014-03-27,Canada Revenue Agency,Mr. Dubourg,Bourassa,1
41-2-415,41,2,415,64,2014-03-27,Canadian Space Agency,Mr. Dubourg,Bourassa,1
41-2-416,41,2,416,64,2014-03-27,Ministry of Finance,Mr. Dubourg,Bourassa,1
41-2-417,41,2,417,64,2014-03-27,Marine Atlantic,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-418,41,2,418,64,2014-03-27,Federal Economic Development Agency for Southern Ontario,Mr. Hsu,Kingston and the Islands,1
41-2-419,41,2,419,64,2014-03-27,Correctional Service Canada,Mr. Hsu,Kingston and the Islands,1
41-2-420,41,2,420,65,2014-03-28,Commemorative projects,Mr. Garneau,Westmount—Ville-Marie,2
41-2-421,41,2,421,65,2014-03-28,Canadian Forces members returning from Afghanistan,Mr. Garneau,Westmount—Ville-Marie,1
41-2-422,41,2,422,65,2014-03-28,International Arms Trade Treaty,Mr. Garneau,Westmount—Ville-Marie,1
41-2-423,41,2,423,65,2014-03-28,Government aircraft,Ms. Freeland,Toronto Centre,1
41-2-424,41,2,424,65,2014-03-28,Government property,Ms. Freeland,Toronto Centre,1
41-2-425,41,2,425,65,2014-03-28,Public service,Ms. Freeland,Toronto Centre,2
41-2-426,41,2,426,65,2014-03-28,Government advertising,Ms. Freeland,Toronto Centre,1
41-2-427,41,2,427,66,2014-03-31,Proactive enrolment of Old Age Security and Guaranteed Income Supplement,Ms. Mathyssen,London—Fanshawe,1
41-2-428,41,2,428,66,2014-03-31,Library and Archives Canada,Mr. Dion,Saint-Laurent—Cartierville,1
41-2-429,41,2,429,66,2014-03-31,Hospitality events,Ms. Murray,Vancouver Quadra,1
41-2-430,41,2,430,66,2014-03-31,Constituency of Sudbury,Mr. Thibeault,Sudbury,1
41-2-431,41,2,431,66,2014-03-31,Mobile applications,Mr. Thibeault,Sudbury,1
41-2-432,41,2,432,66,2014-03-31,Atlantic Canada Opportunities Agency and Enterprise Cape Breton Corporation,Mr. Cuzner,Cape Breton—Canso,1
41-2-433,41,2,433,66,2014-03-31,Agriculture and Agri-Food Canada,Mr. Goodale,Wascana,1
41-2-434,41,2,434,66,2014-03-31,Shared Services Canada,Ms. Bennett,St. Paul's,1
41-2-435,41,2,435,66,2014-03-31,Public Safety Canada,Mr. Easter,Malpeque,1
41-2-436,41,2,436,67,2014-04-01,Costs and expenses related to appointments to the Supreme Court of Canada,Mr. Cotler,Mount Royal,1
41-2-437,41,2,437,67,2014-04-01,Appointment of Justice Marc Nadon,Mr. Cotler,Mount Royal,1
41-2-438,41,2,438,67,2014-04-01,Canada Pension Plan Disability benefit appeals,Ms. Perreault,Montcalm,1
41-2-439,41,2,439,67,2014-04-01,Justice Canada,Mr. Casey,Charlottetown,1
41-2-440,41,2,440,67,2014-04-01,"Foreign Affairs, Trade and Development Canada",Mr. Garneau,Westmount—Ville-Marie,1
41-2-441,41,2,441,67,2014-04-01,Environment Canada,Mr. Scarpaleggia,Lac-Saint-Louis,1
41-2-442,41,2,442,67,2014-04-01,Building Canada Fund,Mr. Trudeau,Papineau,1
41-2-443,41,2,443,67,2014-04-01,Youth Employment Strategy,Mr. Trudeau,Papineau,1
41-2-444,41,2,444,67,2014-04-01,Government borrowing,Mr. Andrews,Avalon,2
41-2-445,41,2,445,67,2014-04-01,Cod fishery,Mr. Andrews,Avalon,1
41-2-446,41,2,446,67,2014-04-01,Comprehensive Economic Trade Agreement,Mr. Andrews,Avalon,1
41-2-447,41,2,447,67,2014-04-01,Eating Disorders,Ms. Duncan,Etobicoke North,1
41-2-448,41,2,448,68,2014-04-02,Judicial appointments from the province of Quebec,Mr. Dion,Saint-Laurent—Cartierville,1
41-2-449,41,2,449,68,2014-04-02,Applications for Canadian citizenship,Mr. Sullivan,York South—Weston,1
41-2-450,41,2,450,68,2014-04-02,Visitor visas,Mr. Sullivan,York South—Weston,1
41-2-451,41,2,451,68,2014-04-02,Constituency of York South—Weston,Mr. Sullivan,York South—Weston,1
41-2-452,41,2,452,68,2014-04-02,Garments and textiles,Mr. Kellway,Beaches—East York,1
41-2-453,41,2,453,69,2014-04-03,Economic Action Plan 2014,Mr. Fortin,Haute-Gaspésie—La Mitis—Matane—Matapédia,1
41-2-454,41,2,454,69,2014-04-03,Extractives Cooperation for Enhanced Economic Development Program,Ms. Laverdière,Laurier—Sainte-Marie,1
41-2-455,41,2,455,69,2014-04-03,"National Police Academy in Ganthier, Haiti",Ms. Laverdière,Laurier—Sainte-Marie,1
41-2-456,41,2,456,69,2014-04-03,Duty remission,Mr. Goodale,Wascana,1
41-2-457,41,2,457,69,2014-04-03,Unauthorized attempts to access government networks,Mr. Angus,Timmins—James Bay,1
41-2-458,41,2,458,69,2014-04-03,Homicides among Somali-Canadian males,Ms. Duncan,Etobicoke North,1
41-2-459,41,2,459,69,2014-04-03,Fishing trawlers,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-460,41,2,460,69,2014-04-03,Fishing trawlers,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-461,41,2,461,69,2014-04-03,Shrimp stocks off the coast of Newfoundland and Labrador,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-462,41,2,462,69,2014-04-03,Funding allocated to Newfoundland and Labrador,Mr. Cleary,St. John's South—Mount Pearl,1
41-2-463,41,2,463,71,2014-04-07,Government aircraft,Mr. Angus,Timmins—James Bay,1
41-2-464,41,2,464,71,2014-04-07,Unauthorized attempts to access government networks,Mr. Angus,Timmins—James Bay,1
41-2-465,41,2,465,71,2014-04-07,Nuclear Liability and Compensation Act,Ms. May,Saanich—Gulf Islands,1
41-2-466,41,2,466,72,2014-04-08,International development assistance,Ms. Laverdière,Laurier—Sainte-Marie,1
41-2-467,41,2,467,73,2014-04-09,Small-business entrepreneurs,Mr. Scarpaleggia,Lac-Saint-Louis,1
41-2-468,41,2,468,73,2014-04-09,Confederation Bridge,Mr. Byrne,Humber—St. Barbe—Baie Verte,1
41-2-469,41,2,469,73,2014-04-09,"Maternal, newborn and child health",Ms. Duncan,Etobicoke North,1
41-2-470,41,2,470,74,2014-04-10,Manolis L shipwreck,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-471,41,2,471,74,2014-04-10,Canada Post community mailboxes,Mr. Boulerice,Rosemont—La Petite-Patrie,1
41-2-472,41,2,472,74,2014-04-10,Veterans' long-term care,Mr. Stoffer,Sackville—Eastern Shore,1
41-2-473,41,2,473,74,2014-04-10,Disabled RCMP veterans,Mr. Stoffer,Sackville—Eastern Shore,1
41-2-474,41,2,474,74,2014-04-10,Disabled Canadian Forces veterans,Mr. Stoffer,Sackville—Eastern Shore,1
41-2-475,41,2,475,74,2014-04-10,Homeless veterans,Mr. Stoffer,Sackville—Eastern Shore,1
41-2-476,41,2,476,74,2014-04-10,"Grants, contributions and loans",Mr. Cuzner,Cape Breton—Canso,1
41-2-477,41,2,477,75,2014-04-24,Ex gratia payments by the Department of National Defence and the Canadian Armed Forces,Mr. Harris,St. John's East,1
41-2-478,41,2,478,75,2014-04-24,Cadet Program,Mr. Harris,St. John's East,1
41-2-479,41,2,479,75,2014-04-24,Gaspésie—Îles-de-la-Madeleine,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-480,41,2,480,75,2014-04-24,Haute-Gaspésie—La Mitis—Matane—Matapédia,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-481,41,2,481,75,2014-04-24,Streamlining and consolidation of offices and jobs,Mr. Toone,Gaspésie—Îles-de-la-Madeleine,1
41-2-482,41,2,482,75,2014-04-24,Canadian International Development Agency accounts,Ms. Foote,Random—Burin—St. George's,1
41-2-483,41,2,483,76,2014-04-28,National Building Code of Canada,Mr. Simms,Bonavista—Gander—Grand Falls—Windsor,1
41-2-484,41,2,484,76,2014-04-28,New Building Canada Fund,Mr. Goodale,Wascana,1
41-2-485,41,2,485,77,2014-04-29,Access to information requests,Mr. Angus,Timmins—James Bay,1
41-2-486,41,2,486,77,2014-04-29,On-reserve educational facilities for First Nations,Mr. Angus,Timmins—James Bay,1
41-2-487,41,2,487,78,2014-04-30,Temporary Foreign Worker Program,Mr. Trudeau,Papineau,1
41-2-488,41,2,488,78,2014-04-30,Temporary Foreign Worker Program,Mr. Trudeau,Papineau,1
41-2-489,41,2,489,79,2014-05-01,International Upper Great Lakes Study,Ms. Bennett,St. Paul's,2
41-2-490,41,2,490,80,2014-05-02,Government funding,Ms. LeBlanc,LaSalle—Émard,2
41-2-491,41,2,491,81,2014-05-05,Canadian Northern Economic Development Agency,Ms. Jones,Labrador,1
41-2-492,41,2,492,81,2014-05-05,Neonicotinoid pesticides,Mr. Choquette,Drummond,1
41-2-493,41,2,493,82,2014-05-06,Spending in Joliette,Ms. Raynault,Joliette,1
41-2-494,41,2,494,82,2014-05-06,Skills Link Program,Ms. Raynault,Joliette,1
41-2-495,41,2,495,82,2014-05-06,Funding of First Nations educational infrastructure,Ms. Raynault,Joliette,1
41-2-496,41,2,496,82,2014-05-06,Temporary Foreign Worker Program,Mr. McCallum,Markham—Unionville,1
41-2-497,41,2,497,82,2014-05-06,Material related to judicial appointments,Mr. Cotler,Mount Royal,1
41-2-498,41,2,498,83,2014-05-07,Children’s fitness tax credit,Mr. Dubé,Chambly—Borduas,1
41-2-499,41,2,499,83,2014-05-07,Applications under the Employment Insurance Program,Mr. Chisholm,Dartmouth—Cole Harbour,1
41-2-500,41,2,500,84,2014-05-08,Canadian Commercial Corporation,Ms. May,Saanich—Gulf Islands,1
41-2-501,41,2,501,86,2014-05-13,Salmon farming,Mr. Allen,Welland,1
41-2-502,41,2,502,86,2014-05-13,Pesticide residues in tea,Mr. Allen,Welland,1
