question_uid,parliament,session,response_sitting_day,question_number,asker_name,responder_name,response_content
42-1-1201,42,1,234,1201,Mr. Robert Sopuck,"Mr. Bill Blair (Parliamentary Secretary to the Minister of Justice and Attorney General of Canada and to the Minister of Health, Lib.)","Mr. Speaker, please consult the weblink for all drinking water advisories in first nations communities at www.aadnc-aandc.gc.ca/eng/1506514143353/1506514230742."
42-1-1207,42,1,234,1207,Ms. Tracey Ramsey,"Hon. Chrystia Freeland (Minister of Foreign Affairs, Lib.)","Mr. Speaker, Canada is actively engaged on the issue of the U.S. section 232 investigation on steel imports.

Canada filed comments with the U.S. Department of Commerce on May 31, 2017, highlighting that it is a reliable trading partner and that steel imported from Canada does not undermine U.S. national security but strengthens it, given our integrated supply chains and our close bilateral collaboration on national defence and security issues. Canada also stressed the fact that any import restrictions on Canadian steel could have a severe impact on integrated supply chains.

The government has actively advocated for the exclusion of Canadian steel from any measure contemplated by the U.S. The Minister of Foreign Affairs has frequently discussed this issue with the United States Secretary of Commerce, and the Prime Minister of Canada has raised concerns about any restrictions that could be imposed on Canadian steel with the President of the United States. The Minister of Innovation, Science and Economic Development has also raised the issue with the Secretary of Commerce and the Minister of Defence has discussed the file with the U.S. Secretary of Defense. In addition, Ambassador of Canada to the United States David MacNaughton has raised the issue with the White House, key cabinet secretaries, and relevant members of Congress. The Embassy of Canada in Washington has also raised Canada’s concerns with this investigation with U.S. interlocutors at the departments of Commerce and Defense, on the Hill, and with U.S. industry."
42-1-1211,42,1,234,1211,Mr. Bob Saroya,"Hon. Catherine McKenna (Minister of Environment and Climate Change, Lib.)","Mr. Speaker, since 2011, Environment and Climate Change Canada has been implementing its policy on drinking water that ensures employees have access to a potable drinking water source at all times. In line with the policy, all supplemental water use (e.g., water bottles, water coolers, and water filtration systems) was eliminated in buildings where water has been tested and meets drinking water guidelines. Environment and Climate Change Canada avoids the use of bottled water as much as possible in order to avoid unnecessary waste.
 
The departmental financial system does not have specific line object coding to track costs related to bottled water. Therefore, Environment and Climate Change Canada is unable to respond to Q-1211 (a) and (b)."
42-1-1217,42,1,234,1217,Mr. David Anderson,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, with regard to part (a), over 21,000 submissions in response to the consultation on tax planning using private corporations were received by the Department of Finance in the dedicated consultation mailbox. This total includes over 11,000 form letters.

With regard to part (b) and part (c), the department has been reviewing each submission to ensure that the substantive comments that are being made are properly taken into account in the further development of the policy. Through this process, the department has not kept a record or a tally of all these submissions based on their source, such as individuals, businesses, or based on their degree of support. That said, various opinions were expressed."
42-1-1218,42,1,234,1218,Mr. David Anderson,"Hon. Jim Carr (Minister of Natural Resources, Lib.)","Mr. Speaker, open, fair, inclusive, and transparent processes for review of energy projects are critical to ensuring public confidence and to having good projects move forward with the support of Canadians.
 
With regard to (a), in January 2016, the government outlined an interim approach to guide its reviews of, and decisions on, major resource projects. The interim approach is premised on five principles or criteria.

One, no project proponent will be asked to return to the starting line. In other words, the government will review projects under, and make its decisions in accordance with, the laws in place at the time when proponents submitted project proposals.

Two, decisions will be based on science, traditional knowledge of indigenous peoples and other relevant evidence. 

Three, the views of the public and affected communities will be sought and considered.

Four, indigenous peoples will be meaningfully consulted, and where appropriate, impacts on their rights and interests will be accommodated.

Five, direct and upstream greenhouse gas emissions linked to the projects under review will be assessed. 

The interim approach will be in place until the government concludes its reviews of the federal environmental assessment and regulatory legislation. The government has applied the interim approach to its reviews of, and decisions on, the Line 3 replacement project, the Trans Mountain expansion project, the Nova Gas Transmission line 2017, and the Towerbirch expansion project. These projects are moving forward and creating tens of thousands of good middle-class jobs.

With regard to (b), there have been no variations in the government’s application of the interim approach to any project. 

On October 5, 2017, the proponents of the energy east and eastern mainline projects, energy east, decided to withdraw the project applications. The proponent made a business decision. The government would have used the exact same review process for the energy east project."
42-1-1219,42,1,234,1219,Mr. David Anderson,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, throughout the consultation period the government received feedback on the complexity of the proposed measures and potential unintended consequences. Over 21,000 written submissions were received by the Department of Finance Canada. The government also received feedback that the measures could create uncertainty in relation to how amounts received from a family business would be taxed. To address these concerns, the government will simplify the proposed measures with the aim of providing greater certainty for family members who contribute to a family business. 

Specifically, the government will work to reduce the compliance burden with respect to establishing the contributions of spouses and family members including labour, capital, risk, and past contributions; better target the proposed rules; and address double taxation concerns.
As proposals are not yet finalized, it is not possible to project the compliance and enforcement costs for the Canada Revenue Agency."
42-1-1230,42,1,243,1230,Mr. Garnett Genuis,"Hon. Chrystia Freeland (Minister of Foreign Affairs, Lib.)","Mr. Speaker, with regard to (a), since January 1, 2017, the Embassy of Canada to Myanmar in Yangon has utilized one private security firm, IDG Myanmar Co. Ltd.With regard to (b), as part of the embassy’s due diligence process in contracting a security firm to provide a security guard for the embassy, market research is conducted to identify capable suppliers, which includes but is not limited to referrals from other embassies or international organizations, and online and local research. IDG has provided and provides security services in Myanmar including guarding services and security training to the UN, EU, the Norwegian Embassy, and the British Embassy. Positive recommendations have been received from the UN and the Norwegian Embassy. The contract award is based on predetermined evaluation criteria and methods of selection assessing several areas such as experience, capacity, capability, transition plan, and price. The contracted security firm, IDG Myanmar Co. Ltd, has provided effective, professional security services for the embassy since its opening in 2014.Contract clauses used within Global Affairs Canada ensure that security providers must be in compliance with local law and that they abide by specific governance and ethics clauses including anti-terrorism and international sanctions. Canada may terminate this contract, or reduce or suspend any payments under it if the contractor fails to honour the provisions within these clauses. These contracts are also subject to the integrity provisions policy and directive.IDG Myanmar Co. Ltd is part of the IDG group of international security companies, a member in good standing of the International Code of Conduct Association, ICoCA, for private security companies. ICoCA member companies must submit to ongoing and independent monitoring, auditing, and verification of conduct, including adherence to international human rights standards.With regard to (c) and (d), we have no indication that IDG Myanmar Co. Ltd has participated in violence against the Rohingyas or other minorities."
42-1-1231,42,1,243,1231,Mr. Guy Lauzon,"Hon. Navdeep Bains (Minister of Innovation, Science and Economic Development, Lib.)","Mr. Speaker, 
with regard to part (a), the selection of applications for the innovation superclusters initiative involves a two-phase process. In the first phase, which closed on July 24, 2017, applicants submitted letters of intent. The intake was very  competitive, with the government receiving over 50 applications from interested applicants from all regions of Canada including British Columbia, the Prairies, Ontario, Quebec, the Atlantic, and the North and from across highly innovative industries such as clean technology, advanced manufacturing, digital technology, health/bio-sciences, clean resources, and agri-food, as well as infrastructure and transportation.The Minister of Innovation, Science and Economic Development Canada announced a short list of nine proposals on October 12, 2017. These selected applicants have been invited to submit a full application by November 24, 2017. The application process is ongoing and a final decision has not been made.Descriptions of the assessment criteria and process, reflecting key elements contributing to program outcomes, are published in the program guide. They are used to assess the potential of proposals to generate economic impact and industrial benefits for Canada, as well as other key elements such as the importance and relevance of the applicant’s proposed plans.With regard to part (b), each letter of intent received was screened for eligibility. Eligible applications were assessed against selection criteria: vision and mission for supercluster, economic growth and industrial benefits, capabilities and assets, and budget and financial commitment.The strongest proposals were those that best demonstrated a clearly defined and common vision for building a business-led cluster, setting their cluster apart by building on the best of its assets and making the cluster more than the sum of its parts; strong potential to accelerate economic growth and achieve industrial benefits in highly innovative industries; unique capabilities and potential to position Canada for global leadership in a particular field; scale and critical mass, bringing together a large number of interested organizations, and securing or demonstrating potential to secure financial commitment from the private sector.Recognizing that there were many good proposals and interesting ideas presented beyond those that were shortlisted, all lead applicants on non-selected proposals received calls from program officials to discuss how Innovation, Science and Economic Development Canada and its portfolio partners might continue working together with proponents. The goal of these conversations has been to find new partnerships, programs, and avenues to maintain the applicants’ momentum and advance the issues of greatest interest to their member firms and organizations."
42-1-1236,42,1,243,1236,Mr. Ron Liepert,"Hon. Diane Lebouthillier (Minister of National Revenue, Lib.)","Mr. Speaker, with regard to parts (a) and (b), the Income Tax Act, ITA, states that, with certain exceptions, “the value of … benefits of any kind whatever received or enjoyed ... in respect of, in the course of, or by virtue of an office or employment” be included in income. To assist with the interpretation of the ITA, the CRA has a long-standing administrative policy that states that employee discounts on merchandise are generally not taxed, except in certain situations when a discount on merchandise is included in income. This policy is explained in T4130, “Employers’ Guide: Taxable Benefits and Allowances”, as follows:If an employer sells merchandise to an employee at a discount, the benefit the employee gets from the discount is not usually taxable except in the following situations:•	The employer makes a special arrangement with an employee or a group of employees to buy merchandise at a discount. 
•	The employer makes an arrangement that allows an employee to buy merchandise (other than old or soiled merchandise) for less than the employer’s cost.•	The employer makes a reciprocal arrangement with one or more other employers so that employees of one employer can buy merchandise at a discount from another employer.If an employer provides a subsidized meal to an employee, the CRA does not consider these meals a taxable benefit if the employee pays a reasonable charge. A reasonable charge is one that covers the cost of the food, its preparation, and service. Employees are also, in most cases, not taxed if they receive a meal when they work the occasional overtime shift.With regard to part (c), on October 10, 2017, the Minister of National Revenue asked officials to clarify the wording of discounts on merchandise to ensure taxpayers are ?provided with clear and concise information in Folio S2-F3-C2, “Benefits and Allowances Received from Employment”. As a result, the CRA removed the folio from its website and is reviewing the folio’s wording regarding discounts on merchandise."
42-1-1237,42,1,244,1237,Mr. Peter Kent,"Hon. Chrystia Freeland (Minister of Foreign Affairs, Lib.)","Mr. Speaker, Canada is disappointed by the continued politicization of the work of the world heritage committee as evidenced by the decision to include the Old Town of Hebron/Al-Khalil on the list of World Heritage in Danger.

This decision hurts UNESCO and it does nothing to advance prospects for the comprehensive, just, and lasting peace to which we aspire for the sake of all Israelis and Palestinians.Canada is not a member of UNESCO’s world heritage committee. Therefore, Canada could not vote against this decision, but expressed our opposition during the world heritage committee meeting in Krakow, Poland, in July 2017."
42-1-1238,42,1,244,1238,Mr. Bev Shipley,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker,
the Conflict of Interest and Ethics Commissioner is an independent officer of the House of Commons who administers the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons. The Conflict of Interest and Ethics Commissioner is responsible for helping appointed and elected officials prevent and avoid conflicts between their public duties and private interests.
Per her recommendations, the conflict of interest screen is administered by the minister’s chief of staff and supported by the department. Instances that are caught by the conflict of interest screen are reported to the Ethics Commissioner’s office.Minister Morneau continues to work closely with the Ethics Commissioner to ensure all the rules are being followed, and has gone above and beyond her recommendations."
42-1-1239,42,1,244,1239,Mr. Bev Shipley,"Mr. Peter Schiefke (Parliamentary Secretary to the Prime Minister (Youth), Lib.)","Mr. Speaker, the Privy Council Office does not have any correspondence, neither in paper nor electronic format, between the Premier of Ontario and the Prime Minister, in relation to the proposed tax changes announced by the Minister of Finance on July 18, 2017."
42-1-1241,42,1,244,1241,Mr. Bev Shipley,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, with regard to part (a), over 21,000 submissions were received in response to the consultation on tax planning using private corporations via email in the dedicated consultation mailbox. This total includes over 11,000 form letters. In addition to the emails received through the consultation mailbox, over 10,000 related items of correspondence to the Minister of Finance were received by the department. With regard to part (b), the department has not kept a record or a tally of submissions based on their source, such as place of residence, occupation, etc. Individuals and groups making submissions to the consultation mailbox were not asked to provide this information . With regard to parts (c) to (h), the department is in the process of reviewing submissions to ensure that comments and proposals are properly taken into account in the further development of the policy. Through this process, the department is not keeping a record or a tally of all these submissions based on their degree or type of support. That said, various opinions were expressed.
With regard to part (i), the consultation mailbox received over 200 submissions via email from October 2, 2017 to October 17, 2017, i.e., the date of the question. Concerns raised in these submissions will be considered by the Department of Finance.
With regard to part (j), the tax policy branch of the Department of Finance is receiving the submissions directly. 
With regard to part (k), as announced in the fall economic statement 2017, the government will propose measures to limit tax deferral opportunities related to passive investments, and will release draft legislation as part of budget 2018. The department will provide a revenue estimate after key design aspects are determined.
With regard to part (l), the government’s estimation of revenue to be generated by the proposed measures to limit income sprinkling using private corporations is about $215 million in 2018-19, growing to $245 million by 2022-23.
With regard to part (m), the government announced in the fall economic statement 2017 that it is no longer moving forward on the proposed changes regarding the conversion of income into capital gains and that the draft legislative proposals released with the consultation will not proceed."
42-1-1242,42,1,244,1242,Mr. Pierre Poilievre,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, with regard to parts (a) and (b), the Government of Canada is committed to implementing strong standards for corporate and beneficial ownership transparency that provide safeguards against money laundering, terrorist financing, tax evasion, and tax avoidance, while continuing to facilitate the ease of doing business in Canada. Timely access for competent authorities to accurate and up-to-date beneficial ownership information is vital for combatting illicit financial flows, including money laundering, terrorist financing, and tax evasion and avoidance. The federal-provincial committee on taxation is a committee composed of senior federal, provincial, and territorial tax officials who meet generally on a semi-annual basis to discuss common tax policy issues and examine their consequences for the national and provincial/territorial economies. The proposal to create a working group of federal, provincial, and territorial officials to examine tax avoidance and evasion, with the first issue proposed for examination being strengthening the collection of beneficial ownership information, was first adopted at the federal-provincial committee on taxation held June 6-7, 2016 in Winnipeg and support for the formation of this working group was confirmed by finance minister at the federal, provincial, and territorial finance ministers’ meeting on June 19 and 20, 2016. Key objectives for the working group are to raise awareness and understanding of the international standards and importance of corporate and beneficial ownership transparency, and collaborate on identifying and advancing options to improve availability of accurate beneficial ownership information.With regard to parts (c) to (e), the work of the working group is ongoing. The working group met via conference call on September 26, 2016, February 14, 2017, September 12, 2017, and September 29, 2017. The objective of the working group is to collaborate to advance the issue of strengthening the transparency and collection of beneficial ownership information. The agenda for the first meetings centered on the development of the working group’s objectives and terms of reference and an analysis of the current state of the corporate registry requirements in each of the participating jurisdictions. Subsequent working group meetings have focused on an international comparison regarding what other jurisdictions have proposed or introduced to strengthen the collection of beneficial ownership information and a discussion on potential options for strengthening the collection of beneficial ownership information.With regard to parts (f) to (l), the working group operates at the officials’ level. Participants at the federal level are officials from the Department of Finance responsible for tax policy, in the tax legislation division, and financial sector policy, financial crimes, and officials from Innovation, Science and Economic Development Canada responsible for federal corporate law policy, marketplace framework policy and Corporations Canada. The working group is supported by at least one official from each of the provinces and territories with responsibility for tax and/or corporate law policy. Various officials from the Department of Finance, from Innovation, Science and Economic Development Canada, and from most or all provinces and territories participated in each working group meeting, but specific attendance was not recorded.The working group has not discussed items pertaining to the use of any particular jurisdiction for the purposes of tax avoidance or tax evasion."
42-1-1244,42,1,244,1244,Mr. Arnold Viersen,"Hon. Navdeep Bains (Minister of Innovation, Science and Economic Development, Lib.)","Mr. Speaker, 
with regard to part (a), the Canadian Standards Association, operating as CSA Group, is one of nine standards development organizations accredited by the Standards Council of Canada, SCC, which can be found at: www.scc.ca/en/accreditation/standards/directory-of-accredited-standards-development-organizations. CSA Group is not a regulatory entity and does not report to the Minister of Innovation, Science or Economic Development, ISED, either directly or indirectly through the SCC. SCC is a federal crown corporation whose role includes the coordination of Canada’s voluntary standardization network. SCC does not have any regulatory authority in its mandate.  
With regard to part (b), SCC is not aware of any specific measures in place to ensure that groups recommending standards or regulations are not influenced by foreign money. SCC takes its mandate from the Standards Council of Canada Act, its governing legislation, to promote efficient and effective voluntary standardization in Canada, which can be found at: http://laws-lois.justice.gc.ca/eng/acts/S-16/index.html. SCC promotes the participation of Canadians in voluntary standards activities and coordinates and oversees the efforts of the persons and organizations involved in Canada’s standardization network.


With regard to part (c), neither SCC nor CSA Group is a regulatory entity. SCC is not aware of any regulations put in place that have been recommended by CSA Group.

With regard to part (d), neither SCC nor CSA is a regulatory entity.

With regard to part (e), ISED officials have confirmed that there are no active memoranda referencing the CSA since January 1, 2016."
42-1-1248,42,1,244,1248,Mr. Bob Benzen,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, private pension plans are regulated under the applicable pension standards legislation, which can be either federal or provincial, depending on the employer’s business operations. Plans sponsored by employers in federally regulated industries, which include banking, interprovincial transportation, and telecommunications, are regulated under the federal Pension Benefits Standards Act, 1985, PBSA.The Sears pension plan falls under provincial jurisdiction and is regulated by the Ontario Pension Benefits Act. Decisions pertaining to the supervision and administration of this plan are the sole responsibility of the Ontario Superintendent of Financial Services. The federal Department of Finance is not involved in any way."
42-1-1251,42,1,244,1251,Mr. Pierre Poilievre,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, the Office of the Superintendent of Financial Institutions, OSFI, is an independent federal government agency, established under the Office of the Superintendent of Financial Institutions Act, that regulates and supervises more than 400 federally regulated financial institutions and 1,200 private pension plans to determine whether they are in sound financial condition and meeting their regulatory and supervisory requirements.OSFI is funded mainly through assessments on the financial institutions and private pension plans that it regulates. The deputy head of OSFI is the Superintendent of Financial Institutions, who is appointed for a seven-year term and may not be removed without cause.OSFI does not hire replacement administrators, rather it has the authority to appoint a replacement administrator under subsection 7.6(1) of the Pension Benefits Standards Act, 1985, PBSA. As such, there is no formal contract between OSFI and an appointed replacement administrator. OSFI does not consult with the Department of Finance on the appointment of replacement administrators.As per the provisions of the PBSA, a replacement administrator is appointed if the plan administrator is insolvent or unable to act or the Superintendent of Financial Institutions is of the opinion that it is in the best interests of the members, or former members, or any other persons entitled to pension benefits under the plan that the administrator be removed. Replacement administrators may recover their reasonable fees and expenses from the pension fund."
42-1-1253,42,1,246,1253,Mr. Robert Kitchen,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, Finance Canada has not disbursed trustee fees in order to establish and maintain a blind trust since November 4, 2015."
42-1-1256,42,1,246,1256,Ms. Jenny Kwan,"Hon. Ahmed Hussen (Minister of Immigration, Refugees and Citizenship, Lib.)","Mr. Speaker, with regard to part (a), IRCC received 100,211 interest to sponsor web form submissions. 
With regard to part (b), from the 100,211 interest to sponsor web form submissions received, the department identified and removed 5,113 duplicates.
With regard to part (c), the interest to sponsor web form did not include a field to identify the individual(s) to be sponsored. As such, the department cannot determine how many of those who submitted an interest to sponsor wish to sponsor the same individual. If a potential sponsor was chosen, they could sponsor their parent(s) and grandparent(s). 
With regard to part (d), the department is still receiving parent and grandparent applications for 2017. For the first round of invitations, potential sponsors had until August 4, 2017, for IRCC to receive their complete applications. IRCC received 6,020 applications. IRCC validates that the sponsor was invited to submit an application and conducts a completeness check before starting processing. Eligibility is determined as part of processing an application. As such, IRCC does not know how many applications will be ineligible. 

With regard to part (e), for the first round of invitations, potential sponsors were given until August 4, 2017, for IRCC to receive a complete application. The department confirmed that 6,020 applications were received from the first round of invitations and has now invited additional potential sponsors to submit complete applications. These potential sponsors have until December 8, 2017, for IRCC to receive a complete application. Eligibility is determined as part of processing an application. As such, we do not know how many applications will be ineligible. 

With regard to part (f), since the department did not receive 10,000 complete applications as of August 4, 2017, additional individuals from the randomized list of persons who submitted an interest to sponsor were invited to submit an application to sponsor their parents or grandparents. The department is committed to receiving as close to 10,000 complete applications as possible in 2017.
 
With regard to part (g), the department is still receiving parent and grandparent applications for 2017 and completeness checks are ongoing. For the first round of invitations, sponsors had until August 4, 2017, for IRCC to receive their application. IRCC received 6,020 applications in the first round of invitations. For the second round of invitations, potential sponsors have until December 8, 2017, for IRCC to receive their application. 

With regard to part (h), IRCC is still receiving parent and grandparent applications for 2017 and completeness checks are ongoing. For the first round of invitations, potential sponsors had until August 4, 2017, for IRCC to receive their application. For the second round of invitations, potential sponsors have until December 8, 2017, for IRCC to receive their application. If potential sponsors are missing a document, they are able to submit a letter of explanation in lieu of the document. IRCC is being facilitative in order to minimize rejections. 

With regard to part (i), processing times are posted on the IRCC website. Please see the following link for the latest processing times for parent and grandparent applications: www.cic.gc.ca/english/information/times/index.asp. 

With regard to part (j), IRCC received 100,211 interest to sponsor web form submissions. After duplicates were removed, the department had 95,098 interest to sponsor web forms. IRCC validates and checks the completeness of the applications before starting processing. Eligibility is determined as part of processing an application. As such, we do not know how many applications will be ineligible. 

With regard to part (k), IRCC worked to determine how many potential sponsors should be invited throughout the year to yield up to 10,000 complete applications. Applications received are still being validated to confirm the sponsor was invited to submit an application and to ensure the application is complete. Potential sponsors who were invited in the second round of invitations have until December 8, 2017, for IRCC to receive their application."
42-1-1258,42,1,246,1258,Ms. Candice Bergen,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, the name of a minister who signed a memorandum to cabinet, like the memorandum itself, is a cabinet confidence."
42-1-1260,42,1,248,1260,Mrs. Shannon Stubbs,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, the Conflict of Interest and Ethics Commissioner is an independent officer of the House of Commons who administers the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons. The Conflict of Interest and Ethics Commissioner is responsible for helping appointed and elected officials prevent and avoid conflicts between their public duties and private interests.As per her recommendations, the conflict of interest screen is administered by the minister’s chief of staff and supported by the department. Instances that are caught by the conflict of interest screen are reported to the Ethics Commissioner’s office.Minister Morneau continues to work closely with the Ethics Commissioner to ensure all the rules are being followed, and has gone above and beyond her recommendations."
42-1-1262,42,1,248,1262,Mrs. Shannon Stubbs,"Mr. Joël Lightbound (Parliamentary Secretary to the Minister of Finance, Lib.)","Mr. Speaker, the Department of Finance is unable to respond as it is does not manage the Minister of Finance’s invitations to parliamentarians."
42-1-1263,42,1,248,1263,Mr. Charlie Angus,"Hon. Jody Wilson-Raybould (Minister of Justice and Attorney General of Canada, Lib.)","Mr.
Speaker, to the extent that the information that has been requested is protected by solicitor-client privilege, the federal crown asserts that privilege and, in this case, has waived that privilege only to the extent of revealing the total legal costs. Justice lawyers, notaries, and paralegals are salaried public servants and therefore no external legal costs were incurred. Based upon the hours recorded, client departments are charged an internal government rate. In this case, the calculation amounts to $807,000 since January 29, 2016."
42-1-1264,42,1,248,1264,Mr. Dan Albas,"Hon. Navdeep Bains (Minister of Innovation, Science and Economic Development, Lib.)","Mr. Speaker, 
with regard to Statistics Canada's Table 204-0001, ''High income trends of tax filers in Canada, provinces and territories, and census metropolitan areas (CMA), national thresholds annual (percent)'', for 2015 and 2016, and broken down by year, the 2015 update will be released on November 15, 2017. Data for 2016 will be released the following November, 2018."
42-1-1265,42,1,248,1265,Mr. Mel Arnold,"Mr. Terry Beech (Parliamentary Secretary for Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)","Mr. Speaker, with regard to part (a), on November 13, 2017, the CCGS Hudson arrived at its home base of Dartmouth, Nova Scotia. Further work, which has been planned for many months, will be undertaken on the Hudson in preparation for its 2018 programming which is projected to commence on April 4, 2018. 
 
With regard to part (b), the refit of the vessel did not meet its original completion date, as the refit work being carried out by a contractor was not completed on time. 

With regard to part (c), the contract for the refit has not been amended to increase the budget. A determination of the final budget cannot be made at this time, as Public Services and Procurement Canada is reviewing the terms of the contract with the original shipyard. 

With regard to part (d), a total of seven science missions were impacted due to the unavailability of the CCGS Hudson for the 2017 field season. Of those, one mission was conducted on another Coast Guard vessel, four requests for proposals were issued to carry out other missions on charter vessels, one mission was cancelled outright, and another mission was substantially reduced.



With regard to part (e), the two missions involving cancellations are as follows. The majority of the Atlantic zone off-shelf monitoring program, AZOMP, mission scheduled for May 2017 was cancelled as the initial attempt to charter a vessel was unsuccessful. Some of the high-priority activities, namely the recovery of a subsurface oceanographic mooring and the deployment of Argo floats in the Labrador Sea, have been rescheduled on other Coast Guard vessels. The Natural Resources Canada Baffin Bay geoscience mission had to be cancelled, as no charter was available for the required time frame to conduct the mission.

 With regard to part (f), (i) Commissioner Thomas; (ii) September 13, 2016; (iii) Gregory Lick, Director General, Operations; (iv) Memorandum for the Commissioner Vessel Life Extension of CCGS Hudson; (v) The memo seeks effective project approval and spending authority to proceed with the vessel life extension of the CCGS Hudson, at a cost of $26.6 million. The memo also explains that the department will manage project expenditures until the funds become available in fall 2016. (vi) GCCMS: 2016-012-00707; EKME#3656821.

Not all briefing notes are included, pursuant to the government security policy and/or the Access to Information Act."
42-1-1266,42,1,248,1266,Mr. Todd Doherty,"Mr. Terry Beech (Parliamentary Secretary for Minister of Fisheries, Oceans and the Canadian Coast Guard, Lib.)","Mr. Speaker, as this occurrence is the subject of an ongoing investigation, Fisheries and Oceans Canada cannot respond to this question at this time."
42-1-1270,42,1,249,1270,Mr. Alexander Nuttall,"Mr. Peter Schiefke (Parliamentary Secretary to the Prime Minister (Youth), Lib.)","Mr. Speaker, the Office of the Prime Minister engages with provincial and territorial governments on a regular basis in the interest of federal-provincial-territorial relations. While the Office of the Prime Minister does not track the details that the question asks for, there were interactions with one of these individuals in their capacity as a staff member of a provincial premier."
42-1-1272,42,1,249,1272,Mr. James Bezan,"Hon. Diane Lebouthillier (Minister of National Revenue, Lib.)","Mr. Speaker, with regard to part (a), Income Tax Folios are technical publications that present the CRA’s interpretation of the law, and that summarize tax court decisions and technical positions adopted by the CRA up to the date of a folio’s publication. As a result, Income Tax Folios are not subject to ministerial approval. 

With regard to part (b), the work on Income Tax Folio S2-F3-C2 began in November 2012.  

With regard to part (c), the CRA undertook the Income Tax Folios project in an effort to improve the way in which complex tax matters were explained to taxpayers and their representatives, i.e., accountants, lawyers, and other tax preparers, in order to improve their ability to comply with their tax obligations. 

With regard to part (d), Income Tax Folio S2-F3-C2 was available to the public online on the CRA webpages, on the canada.ca website, from July 7, 2016, until October 11, 2017. On October 10, 2017, the Minister of National Revenue instructed CRA officials to clarify the wording of discounts on merchandise in the folio. As a result, the CRA removed the folio from its website and is reviewing the folio’s wording with respect to discounts on merchandise.



With regard to part (e), as folios are technical publications that present the CRA’s interpretation of the law and summarize tax court decisions and technical positions previously adopted by the CRA, no economic impact study is completed when folios are published.

With regard to part (f), Income Tax Folio S2-F3-C2 was developed by CRA officials. The draft folio was shared for consultation with officials from the Department of Finance and the Department of Justice as part of the folio publication process.

With regard to parts (g) to (h), no such agreements were signed."
42-1-1277,42,1,249,1277,Mr. David Sweet,"Mr. Sean Casey (Parliamentary Secretary to the Minister of Canadian Heritage, Lib.)","Mr. Speaker, with regard to (a)(i), the National Holocaust Monument is currently open to the public from 7 a.m. to 9 p.m. daily. However, public access is restricted overnight to manage and ensure appropriate and respectful use of the site.
Part of the main level of the monument will be cleared this winter, to provide residents and visitors year-round access to the interpretation panels and views of the murals.
Lighting above snow level will continue to operate through the winter. The second level of the monument will not be accessible for safety reasons, and the Flame of Remembrance and the elevator will be turned off during the winter months.
The National Capital Commission will evaluate the impact of the snow removal operations on the structure and integrity of the monument throughout the season. The National Capital Commission will also consult the Department of Canadian Heritage and stakeholders in the community regarding winter usage of the site.

With regard to (a)(ii) and (b), there are no planned closures for maintenance purposes, unless required by exceptional circumstances.

With regard to (a)(iii) and (c), there are no planned closures, aside from those described in response to part (a)(i)."
42-1-1278,42,1,249,1278,Mrs. Cathay Wagantall,"Hon. Diane Lebouthillier (Minister of National Revenue, Lib.)","Mr. Speaker, the figure included in the question, excerpted from Hansard, refers to the following: Over the past two fiscal years, April 1, 2015 through March 31, 2017, the CRA identified $25 billion in fiscal impact. More specifically, the CRA’s fiscal impact from audit activities was $12.7 billion in 2015-16 and was $12.5 billion in 2016-17.Fiscal impact is the traditional measure used for the CRA’s departmental performance report to report on the audit assessment and examination results from compliance activities. Fiscal impact consists of federal and provincial taxes assessed, tax refunds reduced, interest and penalties, and the present value of future federal tax assessable arising from compliance actions. It excludes the impact of appeals reversals and uncollectable amounts.  

With regard to parts (a) (i) to (iv) and (b), given the above-noted context, the CRA is unable to respond as it does not track such information in the manner requested.With regard to part (c), fiscal impact of audit activities is noted in the Public Accounts of Canada. Amounts assessed by the CRA are reflected in the Public Accounts of Canada, and include assessments generated by audit activities. The CRA cannot provide the information in the manner requested, as a taxpayer’s CRA account includes outstanding debts and refund offsets from several different CRA programs and revenue lines. The CRA system reflects the on-going outstanding balance and does not link the balances or payments to any specific debt, such as from audit assessment."
